관광지,설명
경복궁,"조선 왕조의 정궁으로, 광화문·경회루 등 국보급 건축물과 고궁의 고즈넉한 정취를 느낄 수 있는 서울 대표 명소입니다."
창덕궁,유네스코 세계문화유산으로 지정된 후원(비원)과 함께 조선 왕실의 생활상을 엿볼 수 있는 아름다운 궁궐입니다.
N서울타워,"남산 정상에 위치해 서울 전경을 360도로 조망할 수 있는 랜드마크로, 야경과 사랑의 자물쇠로 유명합니다."
북촌한옥마을,전통 한옥과 좁은 골목길이 어우러져 과거와 현재가 공존하는 서울의 대표적인 문화·사진 관광지입니다.
남산골한옥마을,"조선시대 양반가를 복원한 한옥 단지로, 전통문화 체험과 국악 공연을 즐길 수 있습니다."
동대문디자인플라자,"자하 하디드가 설계한 미래적 외관이 돋보이는 복합문화공간으로, 패션·전시·야간 장터가 활발합니다."
광장시장,100년 전통의 재래시장에서 빈대떡·육회·마약김밥 등 서민 음식과 활기찬 시장 문화를 경험할 수 있습니다.
홍대거리,"개성 넘치는 카페·거리공연·그래피티로 가득한 젊음의 거리로, 트렌디한 문화와 밤 문화를 즐길 수 있습니다."
이태원,"다문화 음식·쇼핑·나이트라이프가 공존하는 국제적인 거리로, 각국 음식을 한곳에서 맛볼 수 있습니다."
청계천,"도심을 가로지르는 10.9km의 인공하천으로, 산책로와 야간 조명이 아름다운 휴식 공간입니다."
수원화성,"정조대왕이 건립한 세계문화유산 성곽 도시로, 화성행궁·장안문 야경이 일품입니다."
한국민속촌,조선 후기 마을을 재현해 전통놀이·민속공연·계절 축제를 즐길 수 있는 체험형 테마파크입니다.
에버랜드,사파리·롤러코스터·계절 꽃 축제로 사계절 내내 즐길 수 있는 국내 최대 규모의 테마파크입니다.
용인대장금파크,사극 촬영지로 유명해 전통 건물 세트장에서 한복 체험과 드라마 속 장면을 재현할 수 있습니다.
파주임진각평화누리,"DMZ 인근 평화공원으로, 전쟁 역사 교육과 초대형 풍차 언덕·피크닉 공연장이 매력적입니다."
남이섬,"메타세쿼이아 길과 드라마 촬영지로 사랑받는 섬으로, 사계절 자연 풍경과 문화 예술 공간이 공존합니다."
가평아침고요수목원,"정원 디자이너 한상경이 조성한 아름다운 테마정원으로, 사계절 꽃 축제와 야간 불빛 정원이 인기입니다."
양평두물머리,"북한강과 남한강이 만나는 물안개 명소로, 수령 400년 느티나무와 사진 명소로 유명합니다."
화담숲,"LG상록재단이 조성한 친환경 수목원으로, 단풍·수국·이끼원 등 계절별 정원 미학을 즐길 수 있습니다."
헤이리예술마을,"화가·작가·건축가가 모여 만든 문화예술 마을로, 갤러리·카페·책방이 어우러진 감성 여행지입니다."
설악산국립공원,"기암괴석과 울긋불긋 단풍이 압도적인 산악 절경으로, 권금성 케이블카와 울산바위가 대표 코스입니다."
오대산국립공원,비로봉 일출·전나무숲길로 유명하며 월정사·상원사 등 천년 고찰과 숲길 힐링이 돋보입니다.
강릉경포해변,"백사장과 소나무 숲이 조화로운 동해안 대표 해변으로, 해돋이와 커피거리 투어가 인기입니다."
속초영금정,"동해 일출 명소와 등대전망대가 있는 절경으로, 속초항 일대 해산물 먹거리와 묶어 방문하기 좋습니다."
춘천소양강스카이워크,유리 바닥 전망대에서 소양강과 의암호를 내려다보며 아찔한 체험과 야경을 즐길 수 있습니다.
정동진,"해안선과 기차역이 맞닿은 이색 풍경으로, 일출·레일바이크·모래시계공원이 유명합니다."
동해추암촛대바위,"신비로운 촛대바위 기암과 해돋이 포인트로, 출렁다리·해안 산책로가 함께 있습니다."
평창대관령양떼목장,"푸른 초원과 하얀 양떼가 어우러진 유럽풍 목장 풍경으로, 사계절 포토 스폿으로 각광받습니다."
삼척해상케이블카,맑은 동해 바다 위를 가로지르며 죽서루·삼척항 풍경을 입체적으로 감상할 수 있습니다.
정선아리랑시장,"정선 5일장으로 유명한 전통 재래시장으로, 곤드레밥·올챙이국수 등 산간 별미를 맛볼 수 있습니다."
대전엑스포과학공원,기초과학 체험관·한빛탑·대관람차가 있는 대전의 가족형 과학 테마파크입니다.
공주마곡사,"백제시대 창건된 천년 고찰로, 솔숲 산책로와 대웅보전이 아름다운 힐링 사찰입니다."
부여백제문화단지,"사비백제 왕궁과 정림사지 등을 재현한 테마 단지로, 백제 역사와 문화를 한눈에 체험할 수 있습니다."
서산해미읍성,"조선시대 읍성 형태를 그대로 간직한 성곽 마을로, 역사 축제와 한옥 게스트하우스가 매력입니다."
